#;domain;problem;run-on;heuristic;search-strategy;tot-time ;search-time ;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 7;Gurpreet;cg;lazy_greedy;0.336802s;0.307637s;58480;51904;9948;5989;11,54%;;88;88;1,47%;1;3958;1
;din phil;instance 8;Gurpreet;cg;lazy_greedy;1.85485s;1.81832s;69436;362519;68291;32343;8,92%;;99;99;0,31%;1;35947;1
;din phil;instance 9;Gurpreet;cg;lazy_greedy;3.09119s;3.04609s;69684;625523;108812;51306;8,20%;;110;110;0,21%;1;57505;1
;din phil;instance 10;Gurpreet;cg;lazy_greedy;6.54999s;6.49691s;71408;1262315;192400;89073;7,06%;;121;121;0,14%;1;103326;1
;din phil;instance 11;Gurpreet;cg;lazy_greedy;24.3341s;24.2637s;110696;5302490;728998;335377;6,32%;;132;132;0,04%;1;393620;1
;din phil;instance 12;Gurpreet;cg;lazy_greedy;71.4024s;71.3322s;217252;15839849;1880951;920495;5,81%;;143;143;0,02%;1;960455;1
;din phil;instance 13;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1257453;0
;din phil;instance 14;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1509259;0
;din phil;instance 15;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1132876;0
;din phil;instance 16;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;2003536;0
;din phil;instance 17;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1342012;0
;din phil;instance 18;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1801233;0
;din phil;instance 19;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1903388;0
;din phil;instance 20;Gurpreet;cg;lazy_greedy;;;;;;;;;;;#DIV/0!;;1493292;0
;din phil;instance 1;Gurpreet;add+cg;lazy_greedy;0.0261536s;0.0115622s;56280;98;60;54;55,10%;;22;22;40,74%;1;5;1
;din phil;instance 2;Gurpreet;add+cg;lazy_greedy;0.0170548s;0.0082911s;56392;336;172;138;41,07%;;33;33;23,91%;1;33;1
;din phil;instance 3;Gurpreet;add+cg;lazy_greedy;0.0484908s;0.033961s;56540;811;305;233;28,73%;;44;44;18,88%;1;81;1
;din phil;instance 4;Gurpreet;add+cg;lazy_greedy;0.116588s;0.058568s;139680;3503;1052;832;23,75%;;55;55;6,61%;1;219;1
;din phil;instance 5;Gurpreet;add+cg;lazy_greedy;0.162941s;0.095653s;156628;7303;1983;1308;17,91%;;66;66;5,05%;1;674;1
;din phil;instance 6;Gurpreet;add+cg;lazy_greedy;0.409819s;0.378383s;72172;26555;5669;4578;17,24%;;77;77;1,68%;1;1090;1
;din phil;instance 7;Gurpreet;add+cg;lazy_greedy;0.525492s;0.492046s;61756;46314;10598;4668;10,08%;;104;104;2,23%;1;5929;1
;din phil;instance 8;Gurpreet;add+cg;lazy_greedy;1.64704s;1.6048s;67572;168912;32422;14800;8,76%;;115;115;0,78%;1;17621;1
;din phil;instance 9;Gurpreet;add+cg;lazy_greedy;6.34834s;6.2995s;72736;708293;115334;54527;7,70%;;142;142;0,26%;1;60806;1
;din phil;instance 10;Gurpreet;add+cg;lazy_greedy;6.71148s;6.65998s;65808;758909;96602;52659;6,94%;;121;121;0,23%;1;43942;1
;din phil;instance 11;Gurpreet;add+cg;lazy_greedy;32.503s;32.4335s;100052;3842109;466931;240803;6,27%;;132;132;0,05%;1;226127;1
;din phil;instance 12;Gurpreet;add+cg;lazy_greedy;108.863s;108.782s;168560;12592958;1379848;727858;5,78%;;143;143;0,02%;1;651989;1
;din phil;instance 13;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;653819;0
;din phil;instance 14;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;689061;0
;din phil;instance 15;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;630801;0
;din phil;instance 16;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;850283;0
;din phil;instance 17;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;823838;0
;din phil;instance 18;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;793737;0
;din phil;instance 19;Gurpreet;add+cg;lazy_greedy;;;;;;;;;;;#DIV/0!;0;887373;0
;din phil;instance 20;Gurpreet;add+cg;lazy_greedy;120.23s;120.002s;170121;8323728;1223884;273746;3,29%;;;;0,00%;0;857502;1
;din phil;instance 1;Gurpreet;add;eager_greedy;0.0094029s;0.0019948s;56128;58;56;28;48,28%;;22;22;78,57%;1;7;1
;din phil;instance 2;Gurpreet;add;eager_greedy;0.0217497s;0.0131694s;56260;646;578;185;28,64%;;33;33;17,84%;1;224;1
;din phil;instance 3;Gurpreet;add;eager_greedy;0.0346762s;0.0280788s;56272;1715;1449;342;19,94%;;60;60;17,54%;1;743;1
;din phil;instance 4;Gurpreet;add;eager_greedy;0.0612297s;0.051066s;56392;4090;2825;621;15,18%;;71;71;11,43%;1;1706;1
;din phil;instance 5;Gurpreet;add;eager_greedy;0.106534s;0.0975869s;56688;12801;6383;1600;12,50%;;82;82;5,13%;1;4085;1
;din phil;instance 6;Gurpreet;add;eager_greedy;0.278522s;0.267671s;57468;44963;15850;4819;10,72%;;93;93;1,93%;1;10081;1
;din phil;instance 7;Gurpreet;add;eager_greedy;0.878547s; 0.866751s;58984;165138;43204;15508;9,39%;;104;104;0,67%;1;26435;1
;din phil;instance 8;Gurpreet;add;eager_greedy;2.85283s;2.84208s;65440;609076;125802;50869;8,35%;;115;115;0,23%;1;73295;1
;din phil;instance 9;Gurpreet;add;eager_greedy;10.173s;10.1615s;81696;2222363;380863;167044;7,52%;;126;126;0,08%;1;211731;1
;din phil;instance 10;Gurpreet;add;eager_greedy;34.2289s; 34.2181s;137712;7992009;1176835;545977;6,83%;;137;137;0,03%;1;628688;1
;din phil;instance 11;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1891211;0
;din phil;instance 12;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1616815;0
;din phil;instance 13;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1441887;0
;din phil;instance 14;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1334857;0
;din phil;instance 15;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1160775;0
;din phil;instance 16;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1284848;0
;din phil;instance 17;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1483773;0
;din phil;instance 18;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1583737;0
;din phil;instance 19;Gurpreet;add;eager_greedy;;;;;;;;;;;#DIV/0!;0;1483873;0
;din phil;instance 20;Gurpreet;add;eager_greedy;;;;;;;;;;;;;;0
;din phil;instance 1;Gurpreet;cg;eager_greedy;0.0109183s;0.004224s;56260;87;76;45;51,72%;;22;22;48,89%;1;0;1
;din phil;instance 2;Gurpreet;cg;eager_greedy;0.0175878s;0.0077957s;56392;272;208;91;33,46%;;33;33;36,26%;1;1;1
;din phil;instance 3;Gurpreet;cg;eager_greedy;0.0312941s;0.0209174s;56516;1383;920;383;27,69%;;44;44;11,49%;1;24;1
;din phil;instance 4;Gurpreet;cg;eager_greedy;0.0964006s;0.0416857s;139548;3618;1641;701;19,38%;;55;55;7,85%;1;70;1
;din phil;instance 5;Gurpreet;cg;eager_greedy;0.175526s;0.108905s;156628;12934;4429;2055;15,89%;;66;66;3,21%;1;276;1
;din phil;instance 6;Gurpreet;cg;eager_greedy;0.380692s;0.299561s;173580;46139;11998;6139;13,31%;;77;77;1,25%;1;937;1
;din phil;instance 7;Gurpreet;cg;eager_greedy;0.437313s;0.408034s;62012;46546;15399;4765;10,24%;;88;88;1,85%;1;7657;1
;din phil;instance 8;Gurpreet;cg;eager_greedy;0.910373s;0.866229s;67292;139297;37370;13111;9,41%;;99;99;0,76%;1;17672;1
;din phil;instance 9;Gurpreet;cg;eager_greedy;3.64386s;3.58923s;72820;832402;158358;64672;7,77%;;110;110;0,17%;1;90225;1
;din phil;instance 10;Gurpreet;cg;eager_greedy;4.83938s;4.78708s;71680;1268192;200625;89139;7,03%;;121;121;0,14%;1;107806;1
;din phil;instance 11;Gurpreet;cg;eager_greedy;18.7674s;18.693s;111084;5316332;744645;335920;6,32%;;132;132;0,04%;1;403236;1
;din phil;instance 12;Gurpreet;cg;eager_greedy;54.2732s;54.1982s;218556;15874189;1906542;922045;5,81%;;143;143;0,02%;1;977709;1
;din phil;instance 13;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1651687;0
;din phil;instance 14;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1931286;0
;din phil;instance 15;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1231166;0
;din phil;instance 16;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1483740;0
;din phil;instance 17;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;932838;0
;din phil;instance 18;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1293838;0
;din phil;instance 19;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;1374638;0
;din phil;instance 20;Gurpreet;cg;eager_greedy;;;;;;;;;;;#DIV/0!;;8463621;0
;din phil;instance 1;Gurpreet;add+cg;eager_greedy;0.0118853s;0.0059111s;56260;61;57;30;49,18%;;22;22;73,33%;1;7;1
