#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;opt tel;instance 1;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 2;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 3;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add+cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;satelite;instance 1;Marta;add;lazy_greedy;0.0397128s;0.0122272s;59456;544;33;31;5,70%;;11;11;35,48%;1;1;1
;satelite;instance 2;Marta;add;lazy_greedy;0.0385248s;0.0101358s;58676;621;35;33;5,31%;;11;11;33,33%;1;1;1
;satelite;instance 3;Marta;add;lazy_greedy;0.133162s;0.0616214s;67236;2681;86;76;2,83%;;18;18;23,68%;1;9;1
;satelite;instance 4;Marta;add;lazy_greedy;0.195273s;0.0766074s;74008;2560;75;68;2,66%;;17;17;25,00%;1;6;1
;satelite;instance 5;Marta;add;lazy_greedy;0.779472s;0.471016s;95304;11616;172;149;1,28%;;19;19;12,75%;1;22;1
;satelite;instance 1;Marta;cg;lazy_greedy;0.110073s;0.0194987s;132748;544;33;31;5,70%;;11;11;35,48%;1;1;1
;satelite;instance 2;Marta;cg;lazy_greedy;0.0867687s;0.0164253s;104664;621;35;33;5,31%;;11;11;33,33%;1;1;1
;satelite;instance 3;Marta;cg;lazy_greedy;0.184145s;0.0561154s;65724;2575;88;78;3,03%;;17;17;21,79%;1;9;1
;satelite;instance 4;Marta;cg;lazy_greedy;0.253035s;0.0604323s;67332;2520;76;69;2,74%;;16;16;23,19%;1;6;1
;satelite;instance 5;Marta;cg;lazy_greedy;0.758888s;0.273377s;83188;11616;172;149;1,28%;;19;19;12,75%;1;22;1
;satelite;instance 1;Marta;add+cg;lazy_greedy;0.119908s;0.0220792s;134080;544;33;31;5,70%;;11;11;35,48%;1;1;1
;satelite;instance 2;Marta;add+cg;lazy_greedy;0.0953594s;0.0170634s;105560;621;35;33;5,31%;;11;11;33,33%;1;1;1
;satelite;instance 3;Marta;add+cg;lazy_greedy;0.245757s;0.104664s;69972;2681;87;76;2,83%;;18;18;23,68%;1;10;1
;satelite;instance 4;Marta;add+cg;lazy_greedy;0.372s;0.155117s;74420;2520;76;69;2,74%;;16;16;23,19%;1;6;1
;satelite;instance 5;Marta;add+cg;lazy_greedy;1.49903s;0.915961s;97912;11616;172;149;1,28%;;19;19;12,75%;1;22;1
;satelite;instance 1;Marta;add;eager_greedy;0.0453185s;0.0191981s;59456;132;89;12;9,09%;;11;11;91,67%;1;3;1
;satelite;instance 2;Marta;add;eager_greedy;0.0383585s;0.0162478s;58676;134;89;12;8,96%;;11;11;91,67%;1;3;1
