#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 11;Gurpreet;add;eager_greedy;0.175344s;0.170572s;57072;9130;8796;770;8,43%;;124;124;16,10%;1;4959;1
;din phil;instance 12;Gurpreet;add;eager_greedy;0.287704s;0.27718s;57228;10997;10589;855;7,77%;;133;133;15,56%;1;5989;1
;din phil;instance 13;Gurpreet;add;eager_greedy;0.266346s;0.256333s;57452;13090;12596;944;7,21%;;142;142;15,04%;1;7131;1
;din phil;instance 14;Gurpreet;add;eager_greedy;0.425249s;0.407038s;57612;15421;14828;1037;6,72%;;151;151;14,56%;1;8389;1
;din phil;instance 15;Gurpreet;add;eager_greedy;0.433572s;0.416883s;58040;18002;17296;1134;6,30%;;160;160;14,11%;1;9678;1
;din phil;instance 16;Gurpreet;add;eager_greedy;0.522265s;0.511828s;58188;20845;20011;1235;5,92%;;169;169;13,68%;1;11269;1
;din phil;instance 17;Gurpreet;add;eager_greedy;0.611844s;0.600371s;58548;23962;22984;1340;5,59%;;178;178;13,28%;1;12899;1
;din phil;instance 18;Gurpreet;add;eager_greedy;0.707575s;0.696458s;58960;27365;26226;1449;5,30%;;187;187;12,91%;1;14661;1
;din phil;instance 19;Gurpreet;add;eager_greedy;0.855661s;0.844326s;59864;31066;29748;1562;5,03%;;196;196;12,55%;1;16559;1
;din phil;instance 20;Gurpreet;add;eager_greedy;1.17098s;1.15731s;60044;35077;33561;1679;4,79%;;205;205;12,21%;1;18597;1
;din phil;Instance 1;Gurpreet;cg;eager_greedy;0.0151103s;0.0052254s;60664;77;72;42;54,55%;;18;18;42,86%;1;0;1
;din phil;Instance 2;Gurpreet;cg;eager_greedy;0.0120079s;0.0057624s;60780;161;153;56;34,78%;;27;27;48,21%;1;0;1
;din phil;Instance 3;Gurpreet;cg;eager_greedy;0.0159425s;0.0089589s;60760;251;233;65;25,90%;;36;36;55,38%;1;0;1
;din phil;Instance 4;Gurpreet;cg;eager_greedy;0.0220047s;0.0172302s;56392;493;454;101;20,49%;;45;45;44,55%;1;0;1
;din phil;Instance 5;Gurpreet;cg;eager_greedy;0.0814724s;0.0557749s;82640;738;690;125;16,94%;;54;54;43,20%;1;0;1
;din phil;Instance 6;Gurpreet;cg;eager_greedy;0.0391733s;0.0331491s;56524;1071;1003;155;14,47%;;63;63;40,65%;1;0;1
;din phil;Instance 7;Gurpreet;cg;eager_greedy;0.0565121s;0.0508954s;56664;1489;1399;188;12,63%;;72;72;38,30%;1;0;1
;din phil;Instance 8;Gurpreet;cg;eager_greedy;0.0889247s;0.0810249s;56660;2009;1890;225;11,20%;;81;81;36,00%;1;0;1
;din phil;Instance 9;Gurpreet;cg;eager_greedy;0.108211s;0.0962767s;56796;2643;2487;266;10,06%;;90;90;33,83%;1;0;1
;din phil;Instance 10;Gurpreet;cg;eager_greedy;0.258489s;0.244976s;56924;3403;3201;311;9,14%;;99;99;31,83%;1;0;1
;din phil;Instance 11;Gurpreet;cg;eager_greedy;0.210204s;0.197412s;57068;4301;4043;360;8,37%;;108;108;30,00%;1;0;1
;din phil;Instance 12;Gurpreet;cg;eager_greedy;0.326689s;0.31835s;57212;5349;5024;413;7,72%;;117;117;28,33%;1;0;1
;din phil;Instance 13;Gurpreet;cg;eager_greedy;0.355498s;0.336514s;57340;6559;6155;470;7,17%;;126;126;26,81%;1;0;1
;din phil;Instance 14;Gurpreet;cg;eager_greedy;0.397671s;0.385565s;57580;7943;7447;531;6,69%;;135;135;25,42%;1;0;1
;din phil;Instance 15;Gurpreet;cg;eager_greedy;0.543401s;0.528609s;57880;9513;8911;596;6,27%;;144;144;24,16%;1;0;1
;din phil;Instance 16;Gurpreet;cg;eager_greedy;0.628283s;0.614503s;58092;11281;10558;665;5,89%;;153;153;23,01%;1;0;1
;din phil;Instance 17;Gurpreet;cg;eager_greedy;0.752654s;0.740104s;58320;13259;12399;738;5,57%;;162;162;21,95%;1;0;1
;din phil;Instance 18;Gurpreet;cg;eager_greedy;1.02819s;0.992146s;58648;15459;14445;815;5,27%;;171;171;20,98%;1;0;1
;din phil;Instance 19;Gurpreet;cg;eager_greedy;1.06449s;1.04508s;59032;17893;16707;896;5,01%;;180;180;20,09%;1;0;1
;din phil;Instance 20;Gurpreet;cg;eager_greedy;1.34161s;1.32502s;59424;20573;19196;981;4,77%;;189;189;19,27%;1;0;1
;din phil;instance 1;Gurpreet;add+cg;eager_greedy;0.0201151s;0.0083116s;60748;71;67;38;53,52%;;18;18;47,37%;1;0;1
;din phil;instance 2;Gurpreet;add+cg;eager_greedy;0.0265253s;0.0080038s;60796;125;119;44;35,20%;;27;27;61,36%;1;0;1
;din phil;instance 3;Gurpreet;add+cg;eager_greedy;0.0198413s;0.0119721s;60780;295;282;76;25,76%;;36;36;47,37%;1;0;1
;din phil;instance 4;Gurpreet;add+cg;eager_greedy;0.0804758s;0.063091s;56392;1364;1265;286;20,97%;;61;61;21,33%;1;0;1
;din phil;instance 5;Gurpreet;add+cg;eager_greedy;0.105859s;0.0736741s;82780;1958;1830;339;17,31%;;70;70;20,65%;1;0;1
;din phil;instance 6;Gurpreet;add+cg;eager_greedy;0.110373s;0.098063s;56676;2839;2664;419;14,76%;;79;79;18,85%;1;0;1
;din phil;instance 7;Gurpreet;add+cg;eager_greedy;0.191827s;0.178235s;56792;3844;3618;494;12,85%;;88;88;17,81%;1;0;1
;din phil;instance 8;Gurpreet;add+cg;eager_greedy;0.226526s;0.215171s;56968;4981;4701;567;11,38%;;97;97;17,11%;1;0;1
;din phil;instance 9;Gurpreet;add+cg;eager_greedy;0.328387s;.314545s;57060;6326;5985;646;10,21%;;106;106;16,41%;1;0;1
;din phil;instance 10;Gurpreet;add+cg;eager_greedy;0.347748s;0.332878s;57460;7849;7435;727;9,26%;;115;115;15,82%;1;0;1
;din phil;instance 11;Gurpreet;add+cg;eager_greedy;0.46819s;0.453928s;57652;9608;9112;814;8,47%;;124;124;15,23%;1;0;1
;din phil;instance 12;Gurpreet;add+cg;eager_greedy;0.555092s;0.542632s;57864;11565;10973;933;8,07%;;133;133;14,26%;1;0;1
;din phil;instance 13;Gurpreet;add+cg;eager_greedy;1.00545s;0.979471s;58148;13786;13087;998;7,24%;;142;142;14,23%;1;0;1
;din phil;instance 14;Gurpreet;add+cg;eager_greedy;0.867748s;0.849132s;58632;16225;15403;1095;6,75%;;151;151;13,79%;1;0;1
;din phil;instance 15;Gurpreet;add+cg;eager_greedy;1.26502s;1.23362s;58932;18956;17998;1198;6,32%;;160;160;13,36%;1;0;1
;din phil;instance 16;Gurpreet;add+cg;eager_greedy;1.39973s;1.38575s;59280;21925;20813;1303;5,94%;;169;169;12,97%;1;0;1
